0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-11-18,GOGO,FUTU,ABEO,LMNL,AZUL,TRIP,EB,HUYA,BCLI,CRBP,MIK,BEST,GSKY,LAC,CSCW,OPTT,AG,SKT,SAVA,PIC,GHSI,CLR,CLVS,WTI,BEKE,KODK,BORR,VFF,CRON,ONCT,CGC,FUV,TCO,NXTD,MGI,WPRT,PBF,ACST,SBE,SPWR,SUNW,RAD,PEIX,MITT,BBI,FSLY,OGI,HOFV,AVYA,GRWG,PAYS,AYRO,BOXL,BYND,ATUS,WTRH,APPS,HEXO,BTG,FUBO,PLYA,ATIF,CPE,BRQS,SHIP,SAVE,PEI,MFGP,CNK,CTRM,IQ,TLRY,NNDM,IHT,INPX,KZIA,PRTY,JAGX,WWR,GDRX,EGY,SDC,BLNK,CIIC,EXPR,RIDE,SCKT,AHT,JMIA,CBAT,BLU,XPEV,YY,LI,ABEV,SOLO,KNDI,RIOT,MARA,DNK
2020-11-19,PEI,EXPR,CLVS,INUV,OEG,BOXL,SBGI,CEI,BIOL,CRSR,BCLI,CPE,VFF,WPRT,PTE,CLSK,HUYA,IPOB,MFGP,PHUN,PBF,FSLY,WTI,BBI,NETE,KODK,EGY,FUBO,WIMI,UAMY,VISL,NBEV,GRWG,AVYA,SPWR,GHSI,AG,LMNL,BEST,ADMP,WTRH,POLA,PEIX,SAVE,SHIP,DPW,TAT,HEXO,OGI,CSIQ,BLU,FUTU,OPTT,UAVS,SUNW,CNK,BTG,SDC,TTNP,IQ,OGEN,ATUS,PIC,TLS,ADTX,BKYI,PLYA,BHAT,HUSN,PRTY,GME,RIDE,SBE,HPR,BEKE,AVGR,GDRX,TLRY,JAGX,YY,ACST,DNK,ABEV,CTRM,MARA,WWR,RIOT,FUV,BLNK,CBAT,JMIA,NNDM,LI,CIIC,XPEV,YSG,FENG,AYRO,KNDI,SOLO
2020-11-20,ADMP,FENG,WYNN,NVIV,NXTD,CLVS,TAT,MIK,IPOC,KODK,CRON,YY,CPE,INPX,APPS,AG,PIC,HPR,UAMY,PLG,AVGR,JKS,SGBX,URBN,OSTK,POLA,UAVS,EXPR,ATUS,FUTU,FUBO,FL,SDC,WSM,CIDM,FTEK,HUYA,FSLY,DKS,WPRT,DXLG,SAVE,RIDE,TLGT,SINT,CNK,REED,CEI,BEST,HOFV,OGI,GME,BEKE,PRTY,GDRX,HEXO,BIOL,SPWR,BTG,CIIC,DNK,NETE,SPI,CHEK,OEG,IQ,DPW,PEIX,OPTT,SBE,LAZR,CBAT,JAGX,WTRH,ARTL,ABEV,TLRY,YSG,TTNP,WWR,MRVI,ACST,GHSI,OGEN,AEZS,FUV,MARA,JMIA,RIOT,TANH,SUNW,LI,BLNK,CTRM,KNDI,NNDM,XPEV,AYRO,KXIN,SOLO
2020-11-23,RMG,PPSI,WPRT,YY,IGC,CEI,LAC,DKS,JKS,GRWG,BEKE,ANF,VFF,CGC,GDRX,KODK,OGEN,BTU,FSLY,PLYA,PIC,UAVS,XSPA,PBF,SPI,NXTD,ACST,UAMY,SPWR,PLG,NVAX,YSG,PRTY,GHSI,BKYI,CPE,AG,SHIP,NCTY,RIDE,BTG,SAVE,BEST,AIHS,FUBO,LAZR,AHT,FUV,ITRM,CNK,GTEC,AEZS,EXPR,POLA,APXT,HEXO,RESI,GME,WWR,CBAT,DXLG,WTI,SDC,OGI,BRQS,WATT,WTRH,MARK,PEIX,NIU,IQ,PEI,BORR,JAGX,OPTT,ATUS,CTRM,GSM,SUNW,PTE,SBE,ABEV,ENG,OEG,JMIA,NNDM,CIIC,TLRY,KNDI,RIOT,FTEK,AYRO,MARA,TANH,LI,SOLO,BLNK,KXIN,XPEV,DPW
2020-11-24,FSLY,LAZR,JKS,YSG,PRTS,RMG,BEKE,UUUU,BTU,TAT,ACOR,APPS,PBF,GSM,ANF,PHUN,CLVS,APXT,PLYA,SPWR,TOUR,AIHS,USWS,WPRT,MARK,DXLG,FUV,NIU,CBAT,WWR,GV,AGI,GME,PIC,BEST,FUBO,TRVG,DGLY,IGC,WTRH,RIDE,IQ,LAC,AG,DKS,TOPS,CPE,AHT,THCB,KXIN,CRON,PRTY,JAGX,MKD,INPX,CNK,BTG,WIMI,SAVE,SUNW,ATUS,SDC,PEIX,CGC,WATT,WTI,CTRM,EXPR,SPI,OGI,BORR,PEI,AREC,AYRO,BRQS,OEG,JMIA,NNDM,COCP,CIIC,ITRM,SBE,RIOT,TANH,ABEV,CEI,MOHO,KNDI,ADXS,MARA,TLRY,SOLO,BLNK,ENG,OPTT,LI,DPW,XPEV,YJ,FTEK
2020-11-25,WATT,LAC,PEIX,BGI,WPRT,VMW,CRON,INPX,OGEN,CSIQ,WWR,GOOS,WORX,CLVS,EXPR,FROG,VTNR,NIU,SDC,CHEK,APPN,SPWR,SHIP,JFIN,FSLY,IPOC,TLGT,CNK,PEI,THCB,SFT,PHUN,FUBO,FRO,EYES,RAD,WTI,WYY,SUNW,AG,OEG,OGI,CIIC,BORR,ITRM,TANH,APXT,HEXO,CRSR,ATUS,ITP,IZEA,CSCW,BEST,GME,VNET,AYRO,SAVE,KXIN,RMG,CEI,BTG,ENG,ADMP,OPTT,HEPA,BRQS,CODX,SBE,JAGX,AHT,AIHS,ADXS,ABEV,TLRY,MKD,FTEK,ELYS,RIOT,KNDI,BLNK,MARA,CTRM,NBAC,NNDM,SYBX,KODK,DPW,TOUR,ZKIN,ACST,WEI,SOLO,JMIA,ANPC,LI,XPEV,YJ,COCP,MTC
2020-11-27,SYBX,WATT,RIDE,BOXL,TRCH,BBI,FROG,INPX,OEG,CHWY,SGLB,SNOW,SAGE,BEKE,IPOC,CEI,HCAC,WTRH,FSLY,OPTT,AYRO,ASAN,UN,RAD,SUNW,BEST,IPOB,AG,TANH,RRD,FUBO,SRAC,WPRT,SBE,FTEK,SPWR,CIIC,NAOV,JAGX,KC,CLVS,APPN,LAZR,MTC,JKS,AHT,DXLG,CTRM,ATUS,SREV,SAVE,MRVI,DPW,ABEO,BTG,ABUS,ACST,CRSR,TMDI,TRXC,PEIX,NBAC,KODK,PIC,ORMP,CRON,ABEV,YJ,CGC,IZEA,SFT,ADXS,LAC,IGC,KNDI,JG,SOL,RMG,NVAX,GME,TOUR,BLNK,OGI,RIOT,IQ,HEXO,COCP,SOLO,THCB,CBAT,MARA,JMIA,QS,LI,XPEV,TLRY,RAIL,APXT,NNDM,WORX
2020-11-30,SAMA,TRCH,JLL,ENBL,ITRM,NXTD,CRBP,OPTT,RIDE,BGNE,GRWG,FRT,ONCY,FUBO,GTHX,IZEA,NVCR,HCAC,CEI,RL,WORX,SUNW,CBAT,ABUS,CIDM,LAC,PEI,TANH,CIIC,WTI,INGR,AG,FUTU,PIC,YJ,YALA,FSLY,CHEK,HOFV,BORR,KODK,GHSI,AHT,ORMP,ATUS,BIOL,APPN,SPWR,SBE,CRSR,AMCI,XNET,DPW,MARK,SDC,BTG,CHWY,PEIX,BLNK,RMG,SAVE,CGC,CNK,KC,LAZR,APPS,THCB,WWR,ADXS,CRON,SNSS,VERI,CTRM,IQ,NVAX,ACST,HUGE,SOLO,ABEV,APXT,COCP,BEST,LI,IGC,AQB,GME,OGI,JMIA,QS,XPEV,SPCB,KNDI,RIOT,TLRY,NNDM,MARA,CAAS,HEXO,JAGX,TTNP
2020-12-01,FTEK,BEST,SHIP,RMG,SPCB,INPX,CEMI,DXLG,AMCI,IPOB,CHEK,PEIX,OPTT,ELY,YALA,NVIV,DRTT,EXPR,SDC,FUBO,KODK,MIK,APPN,SPWR,APPS,CRSR,SOL,XSPA,THCB,FSLY,TMDI,NEOS,PHUN,NOVA,SOGO,SUNW,AG,GOGO,ABUS,SXTC,CGC,DPW,AMCX,RWLK,TANH,CLRB,LAZR,RIBT,IQ,CRON,IGC,CNK,SAVE,ALT,NXTD,MOGO,AAN,CTRM,BTG,ATUS,AVGR,BLNK,APXT,SBE,SINT,AHT,SOLO,WWR,NVAX,INUV,GME,QS,KXIN,COCP,XNET,ADXS,GHSI,RRD,ADMP,CAAP,OGI,JMIA,KNDI,NNDM,ABEV,CRBP,ARLO,TLRY,RIOT,MARA,BIOL,LI,CAAS,XPEV,MBRX,ACST,EYES,HEXO,JAGX,EARS
2020-12-02,BOXL,BORR,AG,LAC,VLDR,SPWR,COGT,SHIP,BRQS,FTEK,EXPR,OPTT,TANH,RMG,ARLO,PEIX,CHWY,ALNA,GHSI,MBRX,EVK,RAD,SOL,TOUR,APPS,FSLY,DPW,PBF,AQUA,EYES,WTI,IQ,AIKI,KODK,HEPA,WTRH,MTC,RIDE,SUNW,APXT,CTRM,ARTL,SAVE,CBAT,WATT,COCP,CGC,TRCH,CRBP,AEZS,AYRO,ITRM,ADMP,CPE,GME,CRSR,BTG,ATUS,NBRV,MIK,AKER,ADXS,FUBO,LAZR,CNK,BLNK,QS,OVID,AHT,IGC,NVIV,AVGR,OGI,SBE,CRON,CEMI,OBLN,BIOL,CRIS,RIOT,CLRB,MARA,ACST,KNDI,NNDM,EARS,SOLO,ACOR,TLRY,JMIA,ABEV,LI,JAGX,XPEV,HEXO,NXTD,MACK,OGEN,NAOV,CATB
